src	trg	w
272	1287	16
105	1287	6
79	1287	4
84	1287	4
147	1287	8
96	1287	5
212	1287	3
2031	1289	13
640	1289	10
2652	1289	3
1014	1289	11
1712	1291	10
2159	1291	18
1813	1291	18
768	1291	11
2015	1291	8
2470	1291	7
709	1291	2
4	1291	6
2509	1294	15
3271	1294	10
2909	1294	4
3462	1294	1
2650	1294	15
2902	1294	14
1752	1294	10
3929	1296	1
3930	1296	8
480	1296	4
536	1296	18
2029	1296	3
1209	1297	15
2026	1301	4
3260	1301	10
1674	1301	7
3288	1303	4
1566	1307	3
212	1307	20
1919	1307	19
2396	1307	1
84	1307	14
1398	1307	7
273	1307	17
830	1307	20
274	1307	9
306	1307	5
77	1307	3
147	1307	13
1054	1308	9
188	1308	20
1469	1308	2
1914	1309	17
989	1310	6
284	1313	16
3282	1314	19
3288	1314	15
316	1315	4
916	1317	13
3224	1319	3
2372	1319	18
1672	1319	12
3589	1319	2
2035	1319	3
1949	1320	11
1649	1320	15
602	1320	16
2016	1320	10
1006	1320	3
3671	1322	4
789	1323	11
3956	1323	12
177	1323	1
326	1323	5
391	1323	2
660	1324	7
927	1324	6
1393	1325	8
970	1325	8
2598	1325	8
2322	1325	4
2029	1325	10
480	1325	12
499	1325	12
808	1325	20
1810	1325	14
401	1325	7
306	1326	14
15	1326	17
147	1326	5
339	1326	9
93	1326	2
918	1327	20
1398	1329	4
1713	1329	9
139	1329	7
330	1329	2
364	1329	18
306	1329	6
1315	1330	3
316	1330	17
3572	1331	8
3013	1331	13
1932	1331	16
1133	1331	13
4063	1333	12
2357	1333	19
1019	1333	1
2268	1333	9
1580	1333	8
2847	1333	3
2533	1333	13
1844	1333	3
1059	1333	17
2012	1333	16
2001	1333	18
2874	1334	6
3974	1334	8
3395	1334	12
855	1334	4
2937	1334	19
2639	1334	16
3332	1334	12
2996	1334	20
739	1334	13
2200	1334	9
3088	1334	3
798	1334	6
2091	1335	11
1618	1335	14
1410	1335	20
1665	1335	13
733	1335	11
413	1335	12
2073	1335	5
1792	1335	17
354	1337	9
745	1337	9
3551	1337	6
2517	1339	19
364	1339	18
1672	1340	1
1495	1340	10
1665	1340	8
733	1340	10
3185	1340	17
1794	1341	5
1370	1341	8
1054	1341	12
2560	1341	8
472	1342	13
1254	1342	7
1047	1342	12
1398	1342	2
11	1342	11
627	1342	4
2786	1342	3
507	1342	12
496	1342	1
147	1342	13
520	1342	3
230	1342	11
998	1342	19
855	1343	18
1938	1343	20
2280	1343	18
3185	1343	2
3513	1346	5
3764	1346	3
1729	1346	20
2951	1348	15
656	1348	19
2025	1348	8
1374	1349	8
2168	1350	10
1333	1350	4
3813	1350	16
3370	1350	9
322	1350	15
2552	1350	20
1757	1350	17
1752	1350	5
3722	1351	19
4099	1351	13
3396	1351	10
1689	1351	12
2396	1354	14
147	1354	20
1873	1355	2
1282	1355	7
1075	1356	20
1448	1358	3
1709	1358	3
628	1358	2
761	1358	8
638	1358	17
1666	1358	16
31	1358	15
1053	1358	10
596	1358	16
1555	1358	8
2084	1359	16
1047	1359	6
2427	1359	15
733	1359	2
1497	1359	16
284	1359	4
1439	1359	4
394	1359	4
510	1359	1
1169	1359	16
954	1362	2
2569	1362	3
2618	1363	17
879	1363	4
1149	1363	1
3278	1365	18
4027	1366	19
2157	1366	18
364	1367	17
411	1367	14
30	1367	18
3092	1368	5
1683	1369	9
844	1370	20
2938	1370	12
2902	1370	4
1795	1370	16
3445	1370	17
3905	1370	16
3966	1370	9
1147	1370	9
2660	1370	16
3782	1370	14
2294	1370	7
2349	1370	13
1341	1370	5
1545	1370	18
1794	1370	20
3324	1370	7
3516	1370	3
2663	1370	12
2262	1370	4
364	1371	13
2514	1373	7
3472	1374	16
3176	1374	14
2635	1374	20
1482	1374	10
3290	1374	2
1349	1374	11
618	1374	16
3403	1374	2
3233	1374	3
3067	1374	7
933	1374	6
2916	1376	19
1760	1376	7
534	1378	6
4123	1381	1
3228	1381	6
3890	1381	20
2532	1381	13
3233	1382	18
565	1383	3
1096	1383	4
1913	1383	5
691	1384	3
1258	1386	7
1820	1386	10
1665	1386	9
1558	1387	9
283	1387	19
1794	1388	20
4135	1388	11
4079	1388	13
3170	1388	5
2970	1388	15
625	1388	6
1717	1388	15
2016	1388	1
2016	1389	8
995	1389	16
1665	1389	11
96	1390	2
2344	1393	18
3861	1393	2
940	1393	20
1325	1393	4
1517	1393	11
2633	1393	8
1282	1393	15
1639	1393	7
1451	1393	11
119	1396	13
1515	1396	6
2416	1396	12
1666	1396	4
31	1396	7
1198	1396	18
596	1396	20
761	1396	1
1183	1396	6
638	1396	2
415	1396	9
1709	1396	15
1531	1398	8
3325	1398	19
3618	1398	15
323	1398	14
363	1398	11
3036	1398	11
1199	1398	18
3994	1398	10
2485	1398	20
2808	1398	14
634	1398	7
1920	1398	18
2494	1398	12
965	1398	15
786	1398	14
3057	1398	17
2739	1398	2
4020	1398	2
4021	1398	18
930	1398	17
3549	1398	1
3689	1398	12
2533	1398	11
3956	1398	2
2061	1398	14
2335	1398	17
2227	1398	8
3016	1398	1
2180	1398	9
3892	1398	9
3150	1398	18
84	1398	20
3748	1398	11
289	1398	17
479	1398	12
3731	1398	10
2631	1398	5
1992	1398	1
1895	1398	20
1085	1398	7
3505	1398	19
2084	1398	15
2066	1398	12
1756	1398	19
2600	1398	11
2062	1398	10
740	1398	10
2601	1398	2
1030	1398	12
2428	1398	16
530	1398	13
503	1398	16
214	1398	8
1537	1398	14
2011	1398	12
1407	1398	15
103	1398	10
303	1398	11
892	1398	12
2736	1398	5
2384	1398	3
770	1398	13
1079	1398	18
2858	1398	19
102	1398	13
284	1398	13
2038	1398	12
1393	1398	4
2153	1398	11
1500	1398	7
371	1398	2
2754	1398	2
1971	1398	12
1282	1398	4
2234	1398	6
515	1398	3
1690	1398	17
814	1398	16
2052	1398	1
2729	1398	20
1342	1398	4
2689	1398	7
226	1398	20
349	1398	16
2322	1398	6
2394	1398	7
1742	1398	2
1967	1398	17
2127	1398	10
243	1398	7
1848	1398	8
1729	1398	12
1195	1398	17
1659	1398	14
2069	1398	3
719	1398	18
2396	1398	18
2403	1398	18
1329	1398	2
330	1398	16
2034	1398	13
476	1398	3
1765	1398	6
461	1398	3
602	1398	20
1988	1398	19
1994	1398	7
2318	1398	4
1764	1398	7
778	1398	13
11	1398	16
658	1398	12
627	1398	8
384	1398	16
1560	1398	7
154	1398	10
1892	1398	10
1707	1398	5
1919	1398	15
466	1398	12
25	1398	1
239	1398	11
1307	1398	18
947	1398	8
1535	1398	13
1127	1398	15
545	1398	9
2058	1398	19
525	1398	1
2189	1398	14
353	1398	16
1465	1398	17
1734	1398	20
755	1398	5
1429	1398	20
1889	1398	14
30	1398	20
656	1398	13
237	1398	4
2006	1398	11
772	1398	18
1533	1398	11
263	1398	13
1255	1398	4
334	1398	6
514	1398	8
1739	1398	2
1517	1398	4
224	1398	9
1539	1398	14
406	1398	11
1762	1398	17
453	1398	3
1522	1398	11
79	1398	14
364	1398	19
272	1398	7
1136	1398	19
411	1398	20
212	1398	8
492	1398	4
127	1398	17
777	1398	7
36	1398	2
350	1398	17
176	1398	19
317	1398	8
931	1398	10
173	1398	13
1047	1398	4
507	1398	17
306	1398	11
77	1398	4
50	1398	15
375	1398	1
139	1398	5
296	1398	17
177	1398	4
1476	1398	1
436	1398	9
1162	1398	9
147	1398	19
96	1398	12
326	1398	19
1647	1399	17
3152	1399	12
2141	1402	11
188	1402	7
812	1402	20
1234	1403	6
2816	1403	19
3284	1403	5
3178	1403	7
1019	1403	3
2887	1403	20
3844	1403	14
1333	1403	20
2787	1403	15
3333	1403	8
3631	1403	20
2311	1403	10
1580	1403	12
3278	1403	17
1726	1403	5
1844	1403	14
2554	1403	4
432	1404	15
228	1407	7
84	1407	3
139	1407	3
212	1407	20
518	1407	7
147	1407	13
306	1407	15
733	1410	9
2003	1410	5
2529	1410	12
738	1410	17
364	1412	20
1063	1412	5
3579	1415	16
272	1415	11
77	1415	8
2396	1415	12
496	1415	5
772	1415	18
79	1415	15
2	1415	6
2034	1415	1
582	1415	15
306	1415	15
224	1415	8
147	1415	16
2967	1416	3
4134	1416	19
3058	1416	5
2797	1417	2
1213	1418	11
733	1418	5
2198	1418	13
1494	1418	7
751	1419	2
1863	1419	9
775	1419	2
139	1419	20
1205	1419	7
1227	1419	14
499	1419	2
536	1419	17
3618	1421	8
2063	1421	15
2241	1421	12
3329	1421	10
1190	1421	18
1022	1421	4
286	1421	11
1750	1421	16
1062	1421	8
1131	1421	20
1877	1422	18
855	1422	12
2777	1422	2
1999	1422	3
3300	1422	15
565	1423	11
2354	1424	16
3162	1424	19
3173	1424	2
3514	1424	15
3300	1424	10
3443	1424	15
306	1429	11
586	1429	9
2756	1429	5
2428	1429	16
84	1429	20
2938	1429	18
879	1429	14
2006	1429	12
1729	1429	18
525	1429	8
1768	1429	19
173	1429	16
330	1429	14
2394	1429	2
1892	1429	7
656	1429	16
1398	1429	13
147	1431	16
3306	1435	4
3396	1435	2
3869	1438	11
3884	1438	9
3850	1438	20
3769	1438	15
3629	1438	19
3455	1438	3
3187	1438	12
1109	1439	5
394	1439	3
1359	1439	7
1169	1439	10
2179	1440	17
1282	1440	6
2758	1442	6
3156	1442	15
715	1443	3
2682	1443	2
3228	1443	11
3873	1443	8
2060	1443	10
634	1443	6
2959	1443	8
1909	1443	14
2038	1443	15
995	1443	3
288	1446	15
986	1448	18
1709	1448	14
596	1448	20
1053	1448	16
638	1448	11
1358	1448	5
1666	1448	15
3120	1449	7
2207	1449	5
2949	1449	4
3082	1449	15
2770	1449	14
1158	1451	9
956	1454	11
2176	1454	5
2606	1456	17
2940	1456	2
3405	1456	7
2182	1456	17
2349	1456	15
948	1456	7
1840	1456	9
1689	1458	8
4008	1458	18
3722	1458	15
778	1458	17
3114	1461	5
2032	1462	19
350	1462	20
77	1462	19
2484	1464	15
1480	1464	17
3574	1465	14
87	1465	3
2528	1465	12
1119	1465	12
317	1465	14
1106	1465	14
96	1465	9
131	1465	9
1762	1465	8
1047	1465	2
801	1465	6
306	1465	1
1889	1465	11
436	1465	13
496	1465	8
102	1465	15
830	1465	11
139	1465	14
1398	1465	13
147	1465	4
1739	1465	17
1707	1465	11
2328	1467	6
2773	1467	7
2908	1467	18
2679	1467	18
2394	1467	18
2656	1467	5
2662	1468	4
257	1468	7
2598	1468	11
363	1468	6
2228	1468	11
147	1468	7
754	1468	20
2084	1468	7
1715	1468	16
1047	1468	12
2301	1468	14
2568	1468	13
2938	1468	20
1813	1468	14
1560	1468	5
132	1468	3
2773	1468	9
2044	1468	18
1497	1468	19
285	1468	7
859	1468	9
1795	1469	20
3104	1469	18
893	1469	16
1913	1469	16
1308	1469	2
441	1470	12
3956	1471	1
1047	1471	11
1030	1471	14
375	1471	2
306	1471	7
2396	1471	16
2394	1471	5
31	1471	14
147	1471	20
3462	1472	17
2530	1472	18
2617	1472	19
1044	1472	13
2981	1472	15
3049	1472	4
2567	1472	17
2509	1472	1
1580	1472	8
2001	1472	3
1752	1472	18
2755	1474	19
4081	1476	20
496	1476	18
1342	1476	14
892	1476	17
2428	1476	9
2396	1476	1
2729	1476	4
507	1476	16
2052	1476	15
1535	1476	12
375	1476	12
96	1476	19
2006	1476	20
11	1476	18
1892	1476	8
2189	1476	8
1398	1476	3
285	1476	14
755	1476	7
1674	1480	8
1464	1480	11
971	1480	9
4084	1481	15
3392	1481	13
2874	1481	1
2915	1481	19
3581	1481	16
3520	1481	7
3096	1481	20
3016	1481	19
1226	1481	8
2791	1481	7
3351	1482	14
3793	1482	13
3936	1482	12
1374	1482	2
3560	1482	11
2053	1483	4
3523	1483	3
3904	1483	3
3898	1483	6
3433	1483	19
3302	1483	4
466	1483	4
1512	1483	6
2578	1484	13
2176	1484	11
1486	1484	6
821	1485	13
2777	1486	5
1484	1486	4
3326	1486	20
2169	1486	8
3354	1486	10
1695	1486	16
733	1487	1
1711	1487	17
2646	1491	12
154	1492	16
1232	1493	20
756	1494	17
3132	1494	15
2523	1494	15
1418	1494	5
921	1494	14
386	1494	3
1977	1495	20
3549	1495	3
3477	1495	7
1340	1495	16
966	1495	7
4099	1496	19
306	1496	1
1307	1496	12
364	1496	6
1254	1497	19
1359	1497	5
286	1497	10
1914	1497	13
1607	1498	11
1889	1499	9
2517	1500	4
147	1500	8
1398	1500	20
364	1501	15
1729	1501	13
2549	1501	4
82	1501	14
3062	1504	3
3408	1504	18
2622	1504	20
2145	1504	15
2294	1506	14
4010	1511	10
2430	1511	1
3904	1512	17
3626	1512	20
3523	1512	16
1075	1512	17
3302	1512	15
3433	1512	12
3036	1512	14
1483	1512	9
1079	1512	20
466	1512	4
1893	1514	3
74	1515	10
596	1515	5
1183	1515	19
638	1515	14
119	1515	13
1666	1515	6
1396	1515	16
986	1515	16
1015	1515	20
1709	1515	20
31	1515	9
4099	1516	3
3096	1516	19
1131	1516	17
3273	1516	11
2437	1516	12
1687	1516	13
2601	1516	4
714	1517	15
1393	1517	1
503	1517	1
1827	1517	13
3458	1518	2
1060	1520	18
147	1521	16
1085	1522	3
3574	1522	18
364	1522	4
3956	1522	1
3057	1522	6
530	1522	7
1173	1522	17
507	1522	1
892	1522	14
2094	1522	6
702	1522	12
1462	1522	18
2689	1522	12
139	1522	5
224	1522	1
330	1522	13
488	1522	2
11	1522	13
2006	1522	14
2214	1522	20
496	1522	7
21	1522	17
102	1522	15
30	1522	4
53	1522	5
14	1522	19
1127	1522	9
1287	1522	3
1739	1522	3
306	1522	10
63	1522	13
230	1522	3
79	1522	13
1526	1522	13
436	1522	2
375	1522	10
77	1522	10
1815	1522	4
326	1522	12
801	1522	17
212	1522	4
350	1522	4
84	1522	16
272	1522	1
147	1522	12
173	1522	12
777	1522	15
96	1522	16
2679	1524	9
1804	1524	6
1971	1526	7
49	1526	18
1173	1526	9
892	1526	8
192	1526	20
224	1526	12
326	1526	9
1287	1526	10
77	1526	9
507	1526	16
96	1526	14
1127	1526	19
1522	1526	5
375	1526	7
1398	1531	2
2457	1531	8
3018	1531	10
2301	1531	18
525	1531	19
1970	1531	13
3505	1531	14
2428	1531	8
1174	1531	4
770	1531	1
2006	1531	12
2322	1531	19
2840	1531	19
11	1531	6
656	1531	3
306	1531	12
2189	1531	2
2318	1531	17
1522	1531	8
370	1533	1
1382	1533	10
1398	1533	15
3839	1534	11
1539	1534	18
147	1535	11
1085	1535	10
1476	1535	8
326	1535	12
303	1535	18
139	1535	17
102	1535	8
1398	1535	17
1307	1535	14
1287	1535	3
507	1535	19
77	1535	17
1889	1535	8
306	1535	10
1739	1535	7
2	1535	20
3823	1536	12
4064	1536	2
3180	1536	4
3149	1536	6
3693	1536	4
3950	1536	10
3722	1536	17
1741	1536	19
3585	1536	12
3764	1536	5
3379	1536	13
391	1537	7
2907	1537	12
96	1537	19
3095	1538	1
3549	1539	13
2629	1539	8
609	1539	12
565	1539	13
1534	1539	7
662	1539	10
2418	1539	15
1423	1539	13
408	1539	14
1554	1539	7
733	1539	17
77	1539	10
738	1539	8
214	1539	12
1729	1539	10
2107	1539	13
1983	1539	20
147	1539	11
317	1539	2
1398	1539	15
752	1539	14
511	1539	9
545	1539	16
2431	1543	7
2629	1543	4
3350	1543	16
3411	1543	8
3480	1543	12
2527	1543	11
1583	1543	5
3626	1544	20
1075	1544	18
1370	1545	17
2398	1545	11
188	1545	11
1794	1545	8
723	1546	15
159	1546	17
1912	1547	11
1804	1551	12
922	1551	8
1696	1552	3
4135	1554	18
3549	1554	4
300	1554	3
2212	1554	8
306	1554	5
214	1554	12
545	1554	1
1921	1554	10
1539	1554	18
330	1554	2
738	1554	7
212	1554	6
954	1555	19
1046	1555	19
4111	1555	6
4015	1555	1
770	1555	10
1919	1555	18
2689	1555	5
514	1555	2
127	1555	6
2114	1555	1
3637	1555	11
1307	1555	3
1783	1555	18
648	1555	10
147	1555	10
102	1555	12
1203	1555	14
37	1555	6
1810	1555	2
139	1555	15
2087	1555	12
1039	1555	12
2705	1555	20
513	1555	12
2396	1555	18
594	1555	8
1515	1555	4
2662	1555	11
2859	1555	6
2069	1555	18
224	1555	15
145	1555	6
1560	1555	7
1407	1555	14
761	1555	9
2044	1555	18
415	1555	14
119	1555	6
755	1555	19
1396	1555	17
392	1555	16
638	1555	1
2416	1555	15
518	1555	4
1709	1555	6
461	1555	14
42	1555	17
1100	1555	7
1666	1555	18
150	1555	9
1183	1555	13
77	1555	18
98	1555	7
1015	1555	19
208	1555	17
1471	1555	2
2187	1555	11
986	1555	4
220	1555	13
1415	1555	3
263	1555	8
31	1555	15
1448	1555	1
1687	1555	6
1739	1555	9
1198	1555	4
1837	1555	10
105	1555	5
306	1555	15
628	1555	9
596	1555	1
1053	1555	20
1615	1555	14
496	1555	2
13	1555	9
772	1555	1
1358	1555	2
1387	1558	17
283	1558	7
3113	1559	8
3836	1559	3
3425	1559	13
1971	1560	7
3774	1560	14
2481	1560	3
2396	1560	20
272	1560	11
2069	1560	3
801	1560	15
224	1560	2
84	1560	3
1398	1560	3
627	1560	18
176	1560	6
30	1560	12
1739	1560	3
77	1560	17
87	1560	5
507	1560	12
436	1560	1
306	1560	2
147	1560	4
54	1560	17
173	1560	5
416	1561	12
296	1566	8
1307	1566	5
77	1566	4
799	1566	3
1739	1566	8
1398	1566	15
306	1566	11
147	1566	20
14	1566	5
228	1566	9
2950	1567	11
733	1569	6
3378	1569	12
876	1569	14
386	1569	19
2629	1569	13
738	1569	11
545	1569	3
2322	1576	9
50	1577	13
1373	1578	1
2040	1578	10
2876	1578	17
3619	1578	4
3844	1580	1
3624	1580	2
2357	1580	8
3168	1580	16
1472	1580	5
1611	1580	7
1333	1580	17
2546	1580	6
1403	1580	19
2142	1580	4
2787	1580	19
2816	1580	20
2385	1580	2
1752	1580	18
2847	1580	3
2268	1580	8
1869	1580	3
2016	1583	8
1006	1583	2
1950	1583	1
1543	1583	3
1909	1583	12
1665	1585	20
625	1585	15
3142	1588	4
20	1589	15
375	1589	2
1892	1589	14
1255	1589	16
3156	1590	6
2758	1590	3
1235	1591	3
2181	1591	10
503	1591	9
3982	1592	1
1147	1595	6
3827	1595	19
2467	1596	17
2480	1596	4
2384	1596	5
364	1596	9
414	1596	20
799	1599	9
0	1599	19
178	1599	18
296	1599	2
306	1599	11
1635	1600	8
3224	1600	13
2323	1603	10
3774	1603	12
2370	1603	20
2069	1603	5
79	1603	5
77	1603	3
139	1603	13
1047	1603	14
1919	1603	16
173	1603	20
306	1603	9
2402	1605	10
948	1605	14
3230	1605	2
2182	1605	15
2269	1605	1
2349	1605	1
1205	1606	6
566	1606	12
2063	1606	7
2163	1606	6
620	1607	10
2808	1607	5
1498	1607	10
3606	1607	14
1250	1607	10
1873	1607	13
1936	1607	12
503	1607	10
855	1607	9
2972	1607	2
1743	1607	16
3197	1607	5
2908	1607	19
1673	1607	8
2359	1607	13
2687	1607	6
733	1607	7
1245	1607	9
1075	1607	10
536	1607	13
499	1607	17
2359	1611	10
1019	1611	3
2142	1611	6
853	1611	10
2954	1611	5
3270	1611	1
3288	1611	12
3631	1611	7
1580	1611	16
3558	1612	1
3807	1613	14
1012	1613	7
284	1613	11
3579	1615	13
777	1615	7
102	1615	18
180	1615	2
548	1615	14
772	1615	3
147	1615	1
2517	1615	18
208	1615	6
2214	1615	8
31	1615	19
496	1615	3
4002	1616	16
1862	1617	20
4079	1618	18
3589	1618	9
1469	1618	4
1244	1618	12
1938	1618	13
2622	1618	10
2073	1618	10
1665	1618	18
1729	1619	9
147	1619	8
550	1623	5
1440	1623	3
1282	1623	3
2417	1623	18
2633	1623	18
2636	1623	19
2838	1625	7
878	1625	8
3589	1626	4
3940	1628	20
1089	1628	13
77	1630	20
88	1630	19
350	1630	7
2214	1630	12
1522	1630	10
96	1630	18
496	1630	19
1600	1635	9
2184	1637	11
928	1637	10
1729	1639	7
1877	1639	11
3905	1639	18
3954	1639	14
2276	1639	3
1665	1639	13
3185	1639	7
1098	1639	18
2176	1639	20
2606	1643	15
188	1643	1
1794	1643	14
2319	1643	6
611	1645	10
3995	1645	20
263	1645	1
2384	1645	14
2069	1645	6
96	1645	6
147	1645	11
2543	1645	20
3965	1647	10
3991	1647	20
2631	1647	5
1399	1647	16
3797	1647	16
3737	1647	3
3418	1647	15
147	1648	4
77	1648	8
3574	1648	18
306	1648	6
300	1651	8
1934	1651	10
323	1652	9
3975	1652	11
240	1652	4
73	1652	9
244	1652	18
236	1652	1
305	1652	2
1988	1652	6
1124	1655	6
2129	1655	9
978	1655	8
2036	1655	7
2619	1658	20
2234	1658	3
306	1659	4
1398	1659	13
2191	1659	9
1762	1659	9
3709	1660	16
3922	1660	15
3521	1660	9
871	1660	9
2930	1660	6
2914	1660	14
2574	1660	13
2831	1665	18
4135	1665	13
1639	1665	15
3905	1665	17
3565	1665	12
1340	1665	19
2972	1665	9
733	1665	4
3549	1665	12
3224	1665	18
2016	1665	4
1618	1665	6
1717	1665	16
1792	1665	13
545	1665	13
2529	1665	17
2518	1665	18
1389	1665	7
756	1665	10
1386	1665	19
415	1666	17
1515	1666	20
1136	1666	15
1183	1666	12
119	1666	17
1837	1666	9
761	1666	8
986	1666	7
1198	1666	15
628	1666	18
2416	1666	12
1709	1666	10
1053	1666	9
638	1666	4
1358	1666	19
1448	1666	5
596	1666	18
31	1666	12
2606	1669	1
2349	1669	1
1916	1669	3
991	1670	15
2012	1671	20
1580	1671	10
3224	1672	19
1319	1672	1
1340	1672	5
2629	1672	13
908	1672	6
3406	1673	10
3677	1673	7
3115	1673	4
1075	1673	15
3606	1673	8
3183	1673	11
3216	1673	6
1607	1673	12
1936	1673	5
2532	1673	11
620	1673	11
3283	1673	12
2820	1674	19
1480	1674	15
2880	1674	10
3168	1674	19
3232	1674	5
2311	1674	13
74	1676	20
3321	1678	7
365	1678	16
1521	1678	10
485	1678	7
444	1681	18
889	1682	11
3938	1682	18
3940	1682	3
855	1682	7
3149	1682	17
3631	1682	15
3178	1682	11
3062	1682	12
853	1682	19
2142	1682	14
2124	1682	4
2777	1682	14
3193	1682	19
1486	1682	12
1369	1683	7
244	1683	19
305	1683	10
147	1683	3
3244	1684	11
2145	1684	8
1131	1686	2
3381	1687	12
3273	1687	2
1516	1687	14
2601	1687	4
4107	1689	7
1458	1689	4
1351	1689	14
2093	1689	8
2770	1689	13
3396	1689	7
3714	1689	20
3196	1689	20
3284	1690	11
1398	1690	15
3319	1692	6
1914	1693	17
3407	1694	11
733	1695	3
2176	1695	20
3644	1696	19
1398	1696	19
3010	1696	2
2814	1696	10
889	1696	19
1552	1696	1
1774	1696	20
3423	1697	6
3879	1698	8
1795	1698	10
2633	1698	4
2176	1698	10
2417	1698	19
2494	1698	16
188	1698	8
1282	1698	2
550	1698	2
3194	1700	4
1013	1700	2
3345	1700	5
3633	1700	20
1048	1704	8
582	1707	8
3057	1707	16
1805	1707	2
777	1707	19
1398	1707	7
77	1707	6
1739	1707	11
180	1707	3
1465	1707	17
1047	1707	4
173	1707	10
317	1707	15
306	1707	1
147	1707	20
1212	1708	5
3191	1708	15
2142	1708	2
3202	1708	15
3271	1708	11
2268	1708	2
2001	1708	4
3462	1708	10
2818	1708	19
3144	1708	4
3545	1708	7
2385	1708	14
3278	1708	13
2847	1708	10
2777	1708	20
1358	1709	2
1448	1709	20
1183	1709	14
1053	1709	11
596	1709	7
2705	1709	17
513	1709	9
2087	1709	18
761	1709	13
2416	1709	18
1515	1709	16
1198	1709	18
628	1709	1
1666	1709	17
1396	1709	3
415	1709	12
1555	1709	8
1015	1709	18
986	1709	11
31	1709	9
638	1709	5
3526	1710	16
3009	1710	2
4079	1711	10
2333	1711	17
3170	1711	18
1487	1711	8
2481	1713	8
2384	1713	16
306	1713	5
30	1713	6
3581	1715	10
3226	1715	4
304	1715	14
1043	1715	5
2572	1715	12
2451	1715	13
1000	1715	5
808	1715	20
940	1715	4
2112	1717	19
2605	1717	17
3445	1717	3
2016	1717	16
1665	1717	18
2398	1717	3
1829	1717	20
1388	1717	14
625	1717	10
414	1717	4
2892	1718	19
3322	1718	16
3238	1718	7
2385	1718	8
179	1719	14
173	1719	16
2086	1719	16
42	1719	8
123	1719	20
563	1719	15
105	1719	16
18	1719	10
24	1719	13
3560	1721	5
150	1722	16
1455	1722	8
536	1722	2
305	1724	4
323	1724	17
2777	1726	9
1403	1726	1
3462	1726	12
2097	1726	13
3203	1726	3
3089	1726	18
2508	1726	19
2267	1726	6
2554	1726	13
1234	1726	10
2142	1726	3
2787	1726	11
3168	1726	3
2559	1726	2
372	1728	18
818	1728	9
27	1728	12
3059	1729	9
4045	1729	15
3827	1729	14
1639	1729	7
582	1729	5
1501	1729	4
2048	1729	15
2830	1729	20
1900	1729	9
3538	1729	6
1971	1729	9
910	1729	2
893	1729	13
421	1729	4
1235	1729	5
2264	1729	1
1346	1729	14
528	1729	3
3172	1729	18
3150	1729	11
3074	1729	2
738	1729	4
1411	1729	7
1079	1729	3
2729	1729	4
2689	1729	14
2396	1729	7
1429	1729	6
499	1729	15
1792	1729	16
2529	1729	4
430	1729	17
2127	1729	1
1247	1729	17
1539	1729	14
243	1729	6
237	1729	12
507	1729	10
1739	1729	19
1398	1729	16
147	1729	3
514	1729	4
634	1729	9
230	1729	10
77	1729	15
96	1729	4
719	1729	17
132	1729	12
746	1730	5
2219	1730	20
1374	1733	7
1382	1733	13
2069	1734	1
306	1734	20
476	1734	5
1988	1734	12
1398	1734	3
442	1734	3
1739	1734	2
147	1734	6
77	1734	15
3731	1739	18
2396	1739	1
411	1739	11
1889	1739	3
1465	1739	5
317	1739	14
1734	1739	11
384	1739	17
395	1739	10
364	1739	6
436	1739	11
1952	1739	20
77	1739	14
1729	1739	19
127	1739	10
1047	1739	8
1707	1739	6
1398	1739	18
1729	1740	11
2764	1740	8
2040	1741	16
3823	1741	20
3585	1741	10
1536	1741	14
2713	1741	20
2980	1741	9
2866	1741	11
2578	1742	3
3220	1742	9
1798	1742	20
1138	1742	6
855	1742	13
2384	1742	13
1398	1742	6
3408	1743	7
1921	1743	2
3395	1743	5
1607	1743	18
1938	1743	8
3209	1743	8
3389	1745	20
3789	1746	19
2762	1746	2
1206	1746	16
2016	1746	19
2128	1747	20
913	1747	5
286	1750	3
1922	1750	20
1905	1750	2
1089	1752	7
2509	1752	16
1294	1752	10
1580	1752	5
2001	1752	15
1350	1752	12
995	1752	6
625	1752	5
322	1752	11
1472	1752	4
1144	1754	20
1398	1756	13
1869	1757	10
1999	1757	1
1081	1757	19
1234	1757	8
1212	1757	16
1350	1757	1
1098	1757	6
855	1757	13
3672	1758	19
3069	1758	17
306	1762	7
77	1762	7
1047	1762	1
1465	1762	17
1659	1762	16
1398	1762	5
2051	1764	16
1398	1764	4
1398	1765	1
2783	1766	18
364	1768	4
3829	1768	7
2925	1768	17
518	1768	18
1429	1768	3
96	1772	6
3378	1773	3
214	1773	4
640	1773	18
3452	1774	12
3083	1774	20
1696	1774	11
4106	1777	7
2089	1777	19
2546	1777	3
899	1777	11
3715	1779	9
1395	1781	2
530	1783	10
105	1783	19
3009	1785	2
1827	1787	6
3075	1789	3
4075	1792	16
1665	1792	7
2529	1792	15
1388	1794	15
2938	1794	5
188	1794	10
3475	1794	14
1341	1794	10
1370	1794	7
2560	1794	4
1643	1794	20
1545	1794	15
1913	1794	17
1469	1795	15
1370	1795	17
2406	1795	9
2430	1795	2
3475	1795	17
2016	1795	8
188	1795	9
1698	1795	13
1081	1795	12
1495	1797	4
2518	1797	3
2417	1798	7
3172	1798	8
3872	1798	8
3220	1798	14
1742	1798	6
3572	1798	6
1115	1798	19
3443	1798	13
3441	1798	14
3457	1798	18
620	1798	17
2897	1800	1
3905	1804	17
2998	1804	6
1524	1804	2
1096	1804	14
